股票代码,股票简称,退市@停牌进度
000003,PT金田A,已退市
000013,*ST石化A,已退市
000015,PT中浩A,已退市
000018,神城A退,已退市
000024,招商地产,已退市
000033,新都退,已退市
000047,ST中侨,已退市
000405,ST鑫光,已退市
000406,大明退市,已退市
000412,ST五环,已退市
000418,小天鹅A,已退市
000508,琼民源,已退市
000511,烯碳退,已退市
000515,攀渝钛业,已退市
000522,白云山A,已退市
000527,美的电器,已退市
000535,*ST猴王,已退市
000542,TCL通讯,已退市
000549,S湘火炬,已退市
000556,PT南洋,已退市
000562,宏源证券,已退市
000569,长城股份,已退市
000578,盐湖集团,已退市
000583,S*ST托普,已退市
000588,PT粤金曼,已退市
000594,国恒退,已退市
000602,金马集团,已退市
000618,吉化退市,已退市
000621,*ST比特,已退市
000653,ST九州,已退市
000658,ST海洋,已退市
000660,*ST南华,已退市
000675,ST银山,已退市
000689,ST宏业,已退市
000693,华泽退,已退市
000699,S*ST佳纸,已退市
000730,*ST环保,已退市
000748,长城信息,已退市
000763,锦化退市,已退市
000765,*ST华信,已退市
000769,*ST大菲,已退市
000787,*ST创智,已退市
000805,*ST炎黄,已退市
000817,辽油退市,已退市
000827,*ST长兴,已退市
000832,*ST龙涤,已退市
000866,扬子退市,已退市
000916,华北高速,已退市
000939,凯迪退,已退市
000956,中原退市,已退市
000979,中弘退,已退市
002018,华信退,已退市
002070,众和退,已退市
002143,印纪退,已退市
002220,天宝退,已退市
002477,雏鹰退,已退市
002509,天茂退,已退市
002604,龙力退,已退市
002680,长生退,已退市
200002,万科B,已退市
200003,PT金田B,已退市
200013,*ST石化B,已退市
200015,PT中浩B,已退市
200018,神城B退,已退市
200024,招商局B,已退市
200039,中集B,已退市
200041,*ST本实B,已退市
200053,深基地B,已退市
200057,*ST大洋B,已退市
200160,东沣B退,已退市
200418,小天鹅B,已退市
200513,丽珠B,已退市
200770,武锅B退,已退市
300028,金亚退,已退市
300090,盛运退,已退市
300104,乐视退,已退市
300156,神雾退,已退市
300186,大华农,已退市
300216,千山退,已退市
300372,欣泰退,已退市
300431,暴风退,已退市
600001,邯郸钢铁,已退市
600002,齐鲁石化,已退市
600003,ST东北高,已退市
600005,武钢股份,已退市
600065,*ST联谊,已退市
600069,退市银鸽,已退市
600074,退市保千,已退市
600087,退市长油,已退市
600092,S*ST精密,已退市
600102,莱钢股份,已退市
600175,退市美都,已退市
600181,*ST云大,已退市
600205,S山东铝,已退市
600240,退市华业,已退市
600253,天方药业,已退市
600263,路桥建设,已退市
600270,外运发展,已退市
600286,S*ST国瓷,已退市
600296,S兰铝,已退市
600317,营口港,已退市
600357,承德钒钛,已退市
600401,退市海润,已退市
600432,退市吉恩,已退市
600472,包头铝业,已退市
600553,太行水泥,已退市
600591,*ST上航,已退市
600607,上实医药,已退市
600625,PT水仙,已退市
600627,上电股份,已退市
600631,百联股份,已退市
600632,华联商厦,已退市
600646,ST国嘉,已退市
600656,退市博元,已退市
600659,*ST花雕,已退市
600669,*ST鞍成,已退市
600670,*ST斯达,已退市
600672,*ST华圣,已退市
600680,*ST上普,已退市
600700,*ST数码,已退市
600709,ST生态,已退市
600747,退市大控,已退市
600752,*ST哈慈,已退市
600762,S*ST金荔,已退市
600772,S*ST龙昌,已退市
600786,东方锅炉,已退市
600788,*ST达曼,已退市
600799,*ST龙科,已退市
600806,退市昆机,已退市
600813,ST鞍一工,已退市
600832,东方明珠,已退市
600840,新湖创业,已退市
600842,中西药业,已退市
600852,*ST中川,已退市
600878,*ST北科,已退市
600899,*ST信联,已退市
600991,广汽长丰,已退市
601268,*ST二重,已退市
601299,中国北车,已退市
601558,退市锐电,已退市
900930,*ST沪普B,已退市
900931,PT水仙B,已退市
900935,阳晨B股,已退市
900949,东电B股,已退市
900950,新城B股,已退市
900951,退市大化,已退市
900956,东贝B股,已退市
